timestamp,feeder_id,predicted_load_p95_kw,pred_without_signature_kw,delta_kw
2026-01-30 10:30:00+00:00,DT-200,55.600258571266565,44.90439490547555,10.695863665791016
2026-01-30 10:45:00+00:00,DT-200,57.061361040536625,46.20718208996108,10.854178950575545
2026-01-30 11:00:00+00:00,DT-200,55.01516563338178,44.40039875181639,10.614766881565387
2026-01-30 11:15:00+00:00,DT-200,61.34337678221269,50.2157138371248,11.127662945087884
2026-01-30 11:30:00+00:00,DT-200,56.05744989816075,44.90414490485641,11.153304993304339
2026-01-30 11:45:00+00:00,DT-200,58.48344340626373,47.55363177211738,10.929811634146354
2026-01-30 12:00:00+00:00,DT-200,58.54249869789674,47.921337675720515,10.621161022176224
2026-01-30 12:15:00+00:00,DT-200,56.25632297614422,45.28107334673729,10.975249629406932
2026-01-30 12:30:00+00:00,DT-200,55.46972278441463,43.51508476535651,11.954638019058116
2026-01-30 12:45:00+00:00,DT-200,63.99433134316673,53.169541926711304,10.824789416455424
2026-01-30 13:00:00+00:00,DT-200,58.46145526850367,47.921337675720515,10.540117592783155
2026-01-30 13:15:00+00:00,DT-200,55.68923065619783,44.37678965458528,11.312441001612548
2026-01-30 13:30:00+00:00,DT-200,62.45210394949396,50.92507646106147,11.527027488432488
2026-01-30 13:45:00+00:00,DT-200,56.41596471407163,45.756092344978086,10.659872369093542
2026-01-30 14:00:00+00:00,DT-200,55.3145970673072,44.40039875181639,10.914198315490808
2026-01-30 14:15:00+00:00,DT-200,57.30992063341884,46.32314781754068,10.986772815878162
2026-01-30 14:30:00+00:00,DT-200,59.430125844103806,48.59587463043564,10.834251213668168
2026-01-30 14:45:00+00:00,DT-200,67.17543723889156,56.632293427297306,10.543143811594256
2026-01-30 15:00:00+00:00,DT-200,54.59593364911293,43.39911903777691,11.196814611336016
2026-01-30 15:15:00+00:00,DT-200,58.78081689558946,48.34547890705307,10.43533798853639
2026-01-30 15:30:00+00:00,DT-200,54.85595955856888,43.39911903777691,11.456840520791964
2026-01-30 15:45:00+00:00,DT-200,56.91223474932515,46.20718208996108,10.705052659364071
2026-01-30 16:00:00+00:00,DT-200,54.53260812184852,43.39911903777691,11.133489084071606
